id,project,evidence_readiness_out_of_100,actual_completion,next_action
AIVOUCH,AIVouch,80,NOT_INDEPENDENTLY_ESTABLISHED,Verify cloud health; define evaluation set
AWS-PORTFOLIO,AWS and public job portfolio,100,NOT_INDEPENDENTLY_ESTABLISHED,Deploy and evaluate the separate data pipeline; tailor portfolio to job applications
PROJECT-106965784f2d,MSc dissertation,65,NOT_INDEPENDENTLY_ESTABLISHED,Obtain new references and reconcile checklist before editing frozen deliverables
PHD-FINLAND,Finland PhD,35,NOT_INDEPENDENTLY_ESTABLISHED,Revalidate gap and institution fit
PROJECT-e72cefcfc818,Education/privacy PhD,35,NOT_INDEPENDENTLY_ESTABLISHED,Refresh primary literature and feasibility
PROJECT-5b716a4bac51,Drone PhD,35,NOT_INDEPENDENTLY_ESTABLISHED,Link research claims to experiment evidence
PROJECT-eeb3ce3babff,Financial crime/AML PhD,35,NOT_INDEPENDENTLY_ESTABLISHED,Audit data access and research gap
PHD-GAPS,Cross-proposal gap search,50,NOT_INDEPENDENTLY_ESTABLISHED,"Full-text screening, citation chaining, subject coverage and supervisor feasibility review."
PHD-FACTORY,PhD proposal factory,35,NOT_INDEPENDENTLY_ESTABLISHED,Verify readiness gates and source provenance
RESEARCH-SCANNER,RRIS research scanner,35,NOT_INDEPENDENTLY_ESTABLISHED,"Connect the recovered factory to a logged, deduplicated and freshness-aware research intake pipeline."
AIOS-CORE,AI OS core,40,NOT_INDEPENDENTLY_ESTABLISHED,Reconcile generated status against fresh evidence
PROJECT-ed3aa8ddd9a6,Four-C governed agents,35,NOT_INDEPENDENTLY_ESTABLISHED,Repair connectors then bounded agent evaluations
TASK-REGISTER,Task/register orchestration,40,NOT_INDEPENDENTLY_ESTABLISHED,Map IDs and derive status from dated evidence
FINANCE-LAB,Finance Lab,50,NOT_INDEPENDENTLY_ESTABLISHED,"Reconstruct permitted raw-input pipeline, provenance and ledger independently before any research-ready claim."
FINANCE-INGEST,Market data ingestion,35,NOT_INDEPENDENTLY_ESTABLISHED,Calendar-gap report; check failed symbol/oil
FINANCE-EWMA,EWMA shadow observation,35,NOT_INDEPENDENTLY_ESTABLISHED,Reconcile manifests and history
FINANCE-GOLD,Gold forward observation,35,NOT_INDEPENDENTLY_ESTABLISHED,Audit point-in-time inputs and weekly append
FINANCE-METALS,Verified metals monitor,35,NOT_INDEPENDENTLY_ESTABLISHED,Repair/classify source failures and forecast date semantics
HYBRID,Hybrid trading,35,NOT_INDEPENDENTLY_ESTABLISHED,Restore canonical scripts; test staged paper pipeline
FINVIZ,Finviz gap scanner,35,NOT_INDEPENDENTLY_ESTABLISHED,Read objective and entrypoints
BITGET,Bitget trading bot,35,NOT_INDEPENDENTLY_ESTABLISHED,Audit purpose/configuration read-only
REVX,RevX grid bot,35,NOT_INDEPENDENTLY_ESTABLISHED,Audit purpose/configuration read-only
DRONES,Drone robotics,70,NOT_INDEPENDENTLY_ESTABLISHED,Instrument recorded-video latency/loss and compare confidence policies in simulation; validate each physical claim separately.
GOOGLE,Google/Gmail integration,35,NOT_INDEPENDENTLY_ESTABLISHED,Fresh least-privilege authentication test
APPS-SCRIPT,Google Apps Script/Energy Desk,65,NOT_INDEPENDENTLY_ESTABLISHED,Reconcile control tabs and source dates; verify trigger configuration and Monday/report generation before disabling fallback.
CHATGPT-HISTORY-INGESTION,ChatGPT archive,35,NOT_INDEPENDENTLY_ESTABLISHED,Restore login and reconcile archive inventory
LOCAL-LLM,Local model integration,35,NOT_INDEPENDENTLY_ESTABLISHED,Benchmark actual workflows
UNITY-AGENTS,Unity AI agents,35,NOT_INDEPENDENTLY_ESTABLISHED,Define deterministic demo
N8N,n8n automation,35,NOT_INDEPENDENTLY_ESTABLISHED,Inventory workflows and credentials without exposing values
HOMEASSISTANT,Home Assistant,35,NOT_INDEPENDENTLY_ESTABLISHED,Inventory actual runtime and device dependencies
N8N-ENERGY,n8n energy alerts,35,NOT_INDEPENDENTLY_ESTABLISHED,Determine relationship to Apps Script Energy Desk
JOBS,Job search and application package,35,NOT_INDEPENDENTLY_ESTABLISHED,Align CV and selected case studies with target roles; build application tracker
LEGACY-MSC,Legacy MSc data-mining project,35,NOT_INDEPENDENTLY_ESTABLISHED,Map overlap and preserve unique artifacts
MSC-VISUALISATION,MSc energy data visualisation,40,NOT_INDEPENDENTLY_ESTABLISHED,"Review narrative, data rights and reproducibility"
MSC-URANIUM,MSc uranium data science,40,NOT_INDEPENDENTLY_ESTABLISHED,"Review methods, results and notebook execution"
MSC-USB-ASSIGNMENTS,MSc archived assignments,35,NOT_INDEPENDENTLY_ESTABLISHED,Map assignments to modules and remove duplicate references
MSC-AWS-LAB,MSc AWS cloud migration lab,55,NOT_INDEPENDENTLY_ESTABLISHED,Reconcile final report and redact selected screenshots
COLAB-ML,Colab neural-network coursework,70,NOT_INDEPENDENTLY_ESTABLISHED,Run clean TensorFlow sessions and save environment/results
COLAB-MARKETS,Colab market-regime experiments,50,NOT_INDEPENDENTLY_ESTABLISHED,Freeze inputs; isolate train/test periods; pin dependencies
MSC-OULAD,OULAD learning-analytics research,40,NOT_INDEPENDENTLY_ESTABLISHED,Resolve research lineage and identify authoritative version
MSC-DEEP-LEARNING,MSc deep-learning volatility study,40,NOT_INDEPENDENTLY_ESTABLISHED,Inspect report and reconcile notebook/results
MSC-ROUTE-AGENT,Intelligent route-finding agent,40,NOT_INDEPENDENTLY_ESTABLISHED,"Review algorithms, evaluation and contribution"
DRIVE-AUDIT,Google Drive evidence organisation,40,NOT_INDEPENDENTLY_ESTABLISHED,Verify read-only audit results; preserve originals
GMAIL-SCRIPT,GmailOrganizer Apps Script,40,NOT_INDEPENDENTLY_ESTABLISHED,Audit current script and triggers without sending or changing email
